 "lexp" , "perf" , "perflabel" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1431987236952" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Tchaikovsky's+Variations+on+a+Rococo+Theme/1431987086305/1431987086316" , "performance of 'Tchaikovsky's Variations on a Rococo Theme'" , "11" ,
 "http://data.open.ac.uk/led/lexp/1402484900240" , "http://data.open.ac.uk/led/performance/Tipperary+(,+performance+of)/1402484846713" , "performance of 'Tipperary'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1432982795628" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Trois+equals+for+four+trombones/1432982331590/1432982331601" , "performance of 'Trois equals for four trombones'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1432982795628" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/March+Funebre/1432982752766/1432982752781" , "performance of 'March Funebre'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1401891815381" , "http://data.open.ac.uk/led/performance/The+British+Grenadiers+(,+performance+of)/1401891611969" , "performance of 'The British Grenadiers'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1450361484800" , "http://data.open.ac.uk/led/performance/c0244a4c4c3cb01a02706c01a815c058/1450361460808" , "performance of 'Pierrot Lunaire'" , "12" ,
 "http://data.open.ac.uk/led/lexp/1432984504343" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/performance/church+anthem+(,+performance+of)/1391799241053/1432984240944" , "performance of 'church anthem'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1424374609798" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Romance+for+viola+and+orchestra/1424374439930/1424374439943" , "performance of 'Romance for viola and orchestra'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1450109709362" , "http://data.open.ac.uk/led/performance/31a8999c3078961c079cfa726cbca597/1450109682336" , "performance of 'Suite n�� 1, op. 3'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1434573420345" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Petrushka/1434573397617/1434573397629" , "performance of 'Petrushka'" , "10" ,
 "http://data.open.ac.uk/led/lexp/1409692544795" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+Orchestra+concert/1409692518641/1409692518647" , "performance of 'Symphony Orchestra concert'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1434462805694" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Violin+Concerto/1433270479137/1434462771946" , "performance of 'Beethoven's Violin Concerto'" , "21" ,
 "http://data.open.ac.uk/led/lexp/1425428001979" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Emperor+Concerto+/+Mendelssohn+cello+sonatas/1425427975185/1425427975198" , "performance of 'Emperor Concerto / Mendelssohn cello sonatas'" , "20" ,
 "http://data.open.ac.uk/led/lexp/1392132841557" , "http://data.open.ac.uk/led/performance/improvisations+(,+performance+of)/1392132519762" , "performance of 'improvisations'" , "14" ,
 "http://data.open.ac.uk/led/lexp/1427917890676" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/B+minor+Sonata/1401880228867/1427917870944" , "performance of 'B minor Sonata'" , "21" ,
