 "perf" , "place" , "placelabel" , "lat" , "long" , "yoc" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Stewelpeter/1414592170628/1414592170645" , "http://dbpedia.org/resource/Hamburg" , "Hamburg" , "53.55" , "10.0" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'H%25C3%25A4nsel+und+Gretel'/1429095187430/1429095187440" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Manon+Lescaut'/1429094832574/1429094832579" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'H%25C3%25A4nsel+und+Gretel'/1429095187430/1429095187440" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/'Manon+Lescaut'/1429094832574/1429094832579" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "37" ,
 "http://data.open.ac.uk/led/performance/c746832fdcafda5f17c8d628bc25c8f2/1446381826772" , "http://dbpedia.org/resource/Venice" , "Venice" , "45.4375" , "12.3358" , "32" ,
 "http://data.open.ac.uk/led/performance/c746832fdcafda5f17c8d628bc25c8f2/1446381826772" , "http://dbpedia.org/resource/Venice" , "Venice" , "45.4375" , "12.3358" , "32" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Gallimaufry/1414591647990/1414592105837" , "http://dbpedia.org/resource/Hamburg" , "Hamburg" , "53.55" , "10.0" , "38" ,
 "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Gallimaufry/1414591647990/1414592105837" , "http://dbpedia.org/resource/Hamburg" , "Hamburg" , "53.55" , "10.0" , "38" ,
 "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Vaughan+Williams+-+'Pastoral+Symphony'+(conducted+by+the+composer)/1406889872805/1406889872813" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "33" ,
 "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Vaughan+Williams+-+'Pastoral+Symphony'+(conducted+by+the+composer)/1406889872805/1406889872813" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "33" ,
 "http://data.open.ac.uk/led/performance/a412fc59a38e38b0a373519b31841a9b/1449059488870" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "38" ,
 "http://data.open.ac.uk/led/performance/48e8605a70449350417981b1d3bc10a1/1477169582833" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "32" ,
 "http://data.open.ac.uk/led/performance/5340cde3e9fbc2fc8be578bedcf0d2d2/1446403208468" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "35" ,
 "http://data.open.ac.uk/led/performance/a412fc59a38e38b0a373519b31841a9b/1449059488870" , "http://dbpedia.org/resource/London" , "London" , "51.5072" , "-0.1275" , "38" ,
