 "lexp" , "perf" , "genre" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1464040440172" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464040385107" , "http://dbpedia.org/resource/Opera" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464040440172" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464040385107" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1406804482631" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/The+first+London+performance+of+Holst's+'Choral+Symphony',+given+by+the+Royal+Philharmonic+Society+at+the+Queen's+Hall.+Letter+from+Vaughan+Williams+to+Holst,+1925/1406804445444/1406804445453" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460130545308" , "http://data.open.ac.uk/led/performance/7e2ffe10fb06f7079011ee59a23b499a/1460130515580" , "http://dbpedia.org/resource/20th-century_classical_music" , "24" ,
 "http://data.open.ac.uk/led/lexp/1464303196822" , "http://data.open.ac.uk/led/performance/548aaa7e18d1cc6f8bdaf1159b42b06e/1464303160090" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460130545308" , "http://data.open.ac.uk/led/performance/7e2ffe10fb06f7079011ee59a23b499a/1460130515580" , "http://dbpedia.org/resource/Song_cycle" , "24" ,
 "http://data.open.ac.uk/led/lexp/1397647732639" , "http://data.open.ac.uk/led/performance/The+Crucifixion+(,+performance+of)/1397647660610" , "http://dbpedia.org/resource/Oratorio" , "16" ,
 "http://data.open.ac.uk/led/lexp/1435560377740" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Goodbye+Virginia/1435560272956/1435560272968" , "http://dbpedia.org/resource/Song" , "16" ,
 "http://data.open.ac.uk/led/lexp/1401894545279" , "http://data.open.ac.uk/led/performance/O+God+Our+Help+in+Ages+Past+(,+performance+of)/1401894430505" , "http://dbpedia.org/resource/Hymn" , "15" ,
 "http://data.open.ac.uk/led/lexp/1447582364824" , "http://data.open.ac.uk/led/performance/bb7202707d09d88eb38625f059d3e70f/1447582338182" , "http://dbpedia.org/resource/Hymn" , "17" ,
 "http://data.open.ac.uk/led/lexp/1392134703765" , "http://data.open.ac.uk/led/performance/English+hymn+(,+performance+of)/1392134828632" , "http://dbpedia.org/resource/Hymn" , "17" ,
 "http://data.open.ac.uk/led/lexp/1396630877283" , "http://data.open.ac.uk/led/performance/Abide+With+Me+(,+performance+of)/1396630840832" , "http://dbpedia.org/resource/Hymn" , "15" ,
 "http://data.open.ac.uk/led/lexp/1435252280553" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Regimental+March+(Rifle+Brigade)/1435252210655/1435252210666" , "http://dbpedia.org/resource/March_(music)" , "15" ,
 "http://data.open.ac.uk/led/lexp/1392135866316" , "http://data.open.ac.uk/led/performance/British+National+Anthem+God+Save+the+King+(,+performance+of)/1392135741253" , "http://dbpedia.org/resource/Patriotic_song" , "17" ,
 "http://data.open.ac.uk/led/lexp/1402068716179" , "http://data.open.ac.uk/led/performance/Baby+Doll+(,+performance+of)/1402068670852" , "http://dbpedia.org/resource/Popular_music" , "14" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/The+Entry+of+the+Gods+into+Valhalla++from+Das+Rheingold+(,+performance+of)/1392148766576" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Pilgrims'+Chorus+from+Tannhauser+(,+performance+of)/1392148605429" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Bridal+March+from+the+Birds+(,+performance+of)/1392148477837" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Marches+from+'Jephtha'+and+Scipio+(,+performance+of)/1392146384021" , "http://dbpedia.org/resource/Oratorio" , "18" ,
 "http://data.open.ac.uk/led/lexp/1397143278944" , "http://data.open.ac.uk/led/performance/matins+(,+performance+of)/1397143243001" , "http://dbpedia.org/resource/Religious_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1399468859293" , "http://data.open.ac.uk/led/performance/organ+voluntary+(,+performance+of)/1399468786293" , "http://dbpedia.org/resource/Religious_music" , "16" ,
 "http://data.open.ac.uk/led/lexp/1464039723509" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464039827845" , "http://dbpedia.org/resource/Opera" , "25" ,
 "http://data.open.ac.uk/led/lexp/1434887133503" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Mavra+(1922)/1396427364210/1434887038211" , "http://dbpedia.org/resource/Opera" , "22" ,
 "http://data.open.ac.uk/led/lexp/1392146433129" , "http://data.open.ac.uk/led/performance/Marches+from+'Jephtha'+and+Scipio+(,+performance+of)/1392146384021" , "http://dbpedia.org/resource/Opera" , "18" ,
 "http://data.open.ac.uk/led/lexp/1460131206435" , "http://data.open.ac.uk/led/performance/9f95669ce15c64e21b4c5641c52a1f77/1460131183392" , "http://dbpedia.org/resource/Opera" , "24" ,
 "http://data.open.ac.uk/led/lexp/1460131206435" , "http://data.open.ac.uk/led/performance/9f95669ce15c64e21b4c5641c52a1f77/1460131183392" , "http://dbpedia.org/resource/Overture" , "24" ,
 "http://data.open.ac.uk/led/lexp/1391367267829" , "http://data.open.ac.uk/led/performance/O+Come+all+ye+faithful+(,+performance+of)/1392130641764" , "http://dbpedia.org/resource/Christmas_carol" , "16" ,
 "http://data.open.ac.uk/led/lexp/1464102134196" , "http://data.open.ac.uk/led/performance/ba13bbdc521ef8fe9cf9ce4c2e7c3387/1464102102916" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464045131803" , "http://data.open.ac.uk/led/performance/582b84e733ab6d4d353b4b05ce4c62da/1464045093273" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464039723509" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464039827845" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460139644148" , "http://data.open.ac.uk/led/performance/f211d037949b1b969d2cc495c278a335/1460139613516" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464102134196" , "http://data.open.ac.uk/led/performance/ba13bbdc521ef8fe9cf9ce4c2e7c3387/1464102102916" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464083012051" , "http://data.open.ac.uk/led/performance/4be95f8ebaed538b31fe3e9810fffafe/1464082979788" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464045131803" , "http://data.open.ac.uk/led/performance/582b84e733ab6d4d353b4b05ce4c62da/1464045093273" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464083012051" , "http://data.open.ac.uk/led/performance/4be95f8ebaed538b31fe3e9810fffafe/1464082979788" , "http://dbpedia.org/resource/Sonatina" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460139644148" , "http://data.open.ac.uk/led/performance/f211d037949b1b969d2cc495c278a335/1460139613516" , "http://dbpedia.org/resource/Song_cycle" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460138164073" , "http://data.open.ac.uk/led/performance/b8b94cfb6e0a81e33d29c62a84890b5c/1460138144986" , "http://dbpedia.org/resource/Romantic_music" , "24" ,
 "http://data.open.ac.uk/led/lexp/1445798605845" , "http://data.open.ac.uk/led/performance/7f5c92a3ba1c99939befa62a26c1314b/1445798485895" , "http://dbpedia.org/resource/Romantic_music" , "10" ,
 "http://data.open.ac.uk/led/lexp/1463779291030" , "http://data.open.ac.uk/led/performance/13ddcd01115374969f89a8a2e8ead074/1463779249104" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464041112834" , "http://data.open.ac.uk/led/performance/426e094c0c82cc8b82f714a5abee94cf/1464041072847" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460138164073" , "http://data.open.ac.uk/led/performance/b8b94cfb6e0a81e33d29c62a84890b5c/1460138144986" , "http://dbpedia.org/resource/20th-century_classical_music" , "24" ,
 "http://data.open.ac.uk/led/lexp/1464042209373" , "http://data.open.ac.uk/led/performance/66473dd663f54c3ed081fe8977285fe4/1464042152114" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1464219122848" , "http://data.open.ac.uk/led/performance/19d78755ccd52cdd4bd9c03bc2cbbec6/1464219076865" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
