" ""lexp"" ";" ""perf"" ";" ""label"" ";" ""genre"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435011945001"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Introduction+and+Allegro/1434115550162/1435011780618"" ";" ""performance of 'Introduction and Allegro'"" ";" ""http://data.open.ac.uk/led/music/Introduction+and+Allegro/1434115550162"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435271265685"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Lyric+Suite/1396614255447/1435271186515"" ";" ""performance of 'Lyric Suite'"" ";" ""http://data.open.ac.uk/led/music/Lyric+Suite/1396614255447"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434664044711"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Of+a+Rose+I+Sing+a+Song/1434663764748/1434663764756"" ";" ""performance of 'Of a Rose I Sing a Song'"" ";" ""http://data.open.ac.uk/led/music/Of+a+Rose+I+Sing+a+Song/1434663764748"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434664044711"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Overture+on+Hebrew+Themes/1434663734063/1434663734098"" ";" ""performance of 'Overture on Hebrew Themes'"" ";" ""http://data.open.ac.uk/led/music/Overture+on+Hebrew+Themes/1434663734063"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434288754271"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Scheherazade/1434288581709/1434288581721"" ";" ""performance of 'Scheherazade'"" ";" ""http://data.open.ac.uk/led/music/Scheherazade/1452276184084"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435011945001"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Serenata/1435011860591/1435011860605"" ";" ""performance of 'Serenata'"" ";" ""http://data.open.ac.uk/led/music/Serenata/1435011860591"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434402023128"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/String+Quartet+in+G+minor/1434400666378/1434401976033"" ";" ""performance of 'String Quartet in G minor'"" ";" ""http://data.open.ac.uk/led/music/String+Quartet+in+G+minor/1434400666378"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1434402023128"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/String+Quartet+No.+14+in+D+minor";+'Death+and+the+Maiden';"+D810/1434401820915/1434401820926"" ";" ""performance of 'String Quartet No. 14 in D minor"; 'Death and the Maiden';" D810'"" ";" ""http://data.open.ac.uk/led/music/String+Quartet+No.+14+in+D+minor";+'Death+and+the+Maiden';"+D810/1434401820915"" ";;;
" ""http://data.open.ac.uk/led/lexp/1434920067972"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+Espagnol/1434919970271/1434919970278"" ";" ""performance of 'Symphony Espagnol'"" ";" ""http://data.open.ac.uk/led/music/Symphonie+Espagnole/1444053450246"" ";;;;;;;;;
" ""http://data.open.ac.uk/led/lexp/1435011945001"" ";" ""http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+No.+2/1435011903568/1435011903585"" ";" ""performance of 'Symphony No. 2'"" ";" ""http://data.open.ac.uk/led/music/Symphony+No.+2/1435011903568"" ";;;;;;;;;
